customer_id,tx_date,amount
0,2025-03-17,13.14
0,2024-06-23,4.55
0,2024-04-04,24.9
1,2025-11-23,31.87
1,2025-11-02,44.8
1,2025-09-19,29.09
2,2025-10-13,32.66
2,2024-02-23,9.94
3,2025-12-30,39.56
3,2025-09-03,41.12
3,2025-06-10,33.36
4,2025-12-30,94.67
4,2025-12-29,135.64
4,2025-12-25,77.34
4,2025-11-14,123.11
4,2025-11-06,63.28
4,2025-10-31,138.85
4,2025-10-13,71.09
4,2025-10-04,145.43
4,2025-10-01,97.94
4,2025-09-25,203.23
4,2025-09-18,53.35
4,2025-09-11,45.41
4,2025-09-08,69.81
4,2025-08-30,47.54
4,2025-08-25,47.58
4,2025-08-05,129.63
4,2025-08-03,94.8
4,2025-07-25,74.74
4,2025-07-16,78.29
4,2025-07-13,70.48
4,2025-07-11,216.82
4,2025-07-10,65.77
4,2025-07-02,49.05
5,2025-11-28,45.8
6,2025-04-21,26.08
7,2025-07-29,24.24
8,2025-12-28,24.25
8,2025-10-20,86.18
8,2025-10-02,38.21
8,2025-09-20,94.86
8,2025-08-29,38.12
8,2025-08-04,41.97
8,2025-07-10,65.35
8,2025-07-01,73.99
8,2025-03-14,80.77
8,2025-03-09,52.59
8,2025-01-22,71.64
9,2025-11-07,72.8
9,2025-10-17,31.65
9,2025-05-12,37.51
10,2025-08-27,65.32
10,2024-11-22,20.06
10,2024-10-29,29.21
10,2024-09-07,43.74
11,2025-12-13,26.24
12,2025-10-13,26.9
12,2025-09-01,24.11
12,2025-07-26,24.16
12,2025-04-08,23.9
12,2025-03-22,20.8
13,2025-08-13,9.3
13,2023-03-28,22.27
13,2020-10-18,20.38
14,2025-12-27,13.78
14,2025-12-12,39.18
14,2025-08-06,13.7
14,2025-07-27,34.46
15,2025-12-06,63.16
15,2025-12-04,125.0
15,2025-10-29,43.39
15,2025-10-17,58.61
15,2025-09-16,80.28
15,2025-09-04,19.56
15,2025-08-18,42.36
15,2025-07-28,66.0
15,2025-07-14,12.92
15,2025-07-03,33.75
15,2025-06-22,95.37
15,2025-06-19,90.82
15,2025-05-23,66.32
15,2025-05-20,85.49
15,2025-05-14,61.25
15,2025-05-02,72.6
15,2025-04-20,46.97
15,2025-04-10,58.28
16,2025-11-08,39.59
16,2025-09-09,18.6
16,2025-09-01,43.94
16,2025-05-01,63.76
16,2025-02-17,72.33
17,2025-12-27,49.65
17,2025-12-04,69.07
17,2025-12-03,85.37
17,2025-11-27,72.72
17,2025-11-17,94.24
17,2025-11-14,231.11
17,2025-11-08,177.23
17,2025-11-05,87.75
17,2025-10-25,51.92
17,2025-10-13,185.41
17,2025-10-09,92.7
17,2025-10-06,40.07
17,2025-10-03,135.65
17,2025-10-02,158.65
17,2025-09-26,28.25
17,2025-09-09,62.9
17,2025-09-08,89.9
17,2025-09-04,137.16
17,2025-08-18,73.41
17,2025-08-04,62.67
17,2025-07-25,136.66
17,2025-07-24,75.17
18,2025-12-20,35.54
18,2025-12-07,8.41
18,2025-05-02,33.65
19,2025-08-26,34.59
19,2025-03-02,14.79
19,2025-02-02,35.06
20,2025-08-07,13.14
20,2025-05-16,23.52
21,2025-12-25,22.15
21,2025-10-06,55.39
22,2025-11-23,66.25
22,2025-11-14,16.83
22,2025-09-15,42.71
23,2023-09-24,9.11
24,2024-08-06,9.69
24,2024-07-14,12.8
25,2025-11-25,60.79
25,2025-11-23,74.27
25,2025-11-22,129.12
25,2025-11-15,72.83
25,2025-10-26,41.6
25,2025-09-24,95.61
25,2025-09-08,40.12
25,2025-08-15,59.69
25,2025-08-01,28.81
26,2025-11-02,16.8
26,2025-04-17,39.25
26,2024-12-06,18.47
26,2024-04-11,18.46
26,2023-11-06,48.62
26,2023-10-30,41.61
26,2023-10-26,17.1
27,2025-12-04,59.27
27,2025-11-15,53.81
27,2025-11-12,182.79
27,2025-11-11,104.29
27,2025-11-10,67.98
27,2025-11-04,87.4
27,2025-10-26,72.99
27,2025-10-25,183.04
27,2025-10-21,85.86
27,2025-10-16,102.67
27,2025-10-12,126.56
27,2025-09-30,65.59
27,2025-09-26,104.66
27,2025-09-19,108.97
27,2025-09-12,43.68
27,2025-09-08,107.79
27,2025-09-07,92.85
27,2025-09-04,101.38
27,2025-09-03,96.71
27,2025-08-30,108.14
27,2025-08-21,185.41
27,2025-08-13,52.67
28,2025-12-29,79.01
28,2025-12-19,83.74
28,2025-11-28,33.26
28,2025-11-24,80.52
28,2025-11-15,39.72
28,2025-10-31,69.53
28,2025-10-28,49.97
28,2025-10-24,120.33
28,2025-09-23,44.63
28,2025-09-20,60.14
28,2025-07-15,74.49
28,2025-06-21,35.53
28,2025-05-08,53.03
29,2025-07-21,43.59
30,2025-05-31,25.1
30,2025-03-18,13.09
30,2024-09-22,26.58
31,2025-12-23,42.51
31,2025-12-05,27.92
31,2025-11-11,11.86
32,2025-11-15,60.55
32,2025-05-31,30.68
32,2025-05-15,57.34
32,2025-05-11,30.5
32,2025-04-11,14.72
33,2025-09-10,10.74
33,2025-06-28,78.64
33,2025-06-21,90.7
33,2025-05-07,33.52
33,2025-03-10,21.2
33,2024-12-16,27.56
33,2024-02-25,49.53
33,2023-10-02,24.74
34,2025-12-03,12.01
34,2025-11-22,30.5
34,2025-09-24,66.29
34,2025-08-24,21.61
34,2025-06-14,28.77
34,2025-06-13,37.77
34,2025-01-03,35.09
