user_id,jtbd_segment,cohort,age,logins_per_week,multi_currency,family_status,premium,support_tickets,kyc_duration_days
0,young_professionals,Casual,29,9.5,False,True,False,0,3.3
1,young_professionals,Growth,23,9.8,False,False,False,1,0.5
2,young_professionals,Casual,26,10.8,False,False,False,0,0.5
3,young_professionals,Growth,25,10.7,False,False,False,0,4.1
4,young_professionals,Power,24,8.4,False,True,False,3,2.3
5,young_professionals,Dormant,28,10.9,False,False,False,1,4.4
6,young_professionals,Casual,18,8.3,False,False,False,0,4.1
7,young_professionals,Casual,27,9.5,False,False,False,0,0.5
8,young_professionals,Power,28,9.4,True,False,False,0,3.5
9,young_professionals,Growth,23,7.3,False,True,True,1,1.3
10,young_professionals,Growth,34,7.5,True,False,True,0,2.0
11,young_professionals,Casual,26,13.5,False,False,False,1,0.6
12,young_professionals,Growth,27,7.2,True,False,True,1,4.0
13,young_professionals,Casual,26,9.7,False,False,False,1,3.2
14,young_professionals,Growth,28,10.2,True,False,False,3,1.6
15,young_professionals,Power,33,8.9,False,False,False,2,1.3
16,young_professionals,Growth,38,10.3,False,False,True,2,3.7
17,young_professionals,Power,31,9.7,False,False,False,2,1.3
18,young_professionals,Casual,32,7.3,False,False,True,1,1.6
19,young_professionals,Growth,35,10.1,False,False,False,0,1.4
20,young_professionals,Casual,29,7.9,False,False,False,0,1.4
21,young_professionals,Growth,34,12.5,False,False,False,0,3.5
22,young_professionals,Dormant,31,9.9,False,False,False,1,2.8
23,young_professionals,Casual,29,7.6,False,False,False,0,1.7
24,young_professionals,Casual,29,9.7,True,False,False,0,0.9
25,young_professionals,Power,21,7.2,False,False,False,2,2.5
26,young_professionals,Growth,29,9.5,False,False,False,2,2.1
27,young_professionals,Power,22,8.5,False,False,False,0,3.7
28,young_professionals,Power,21,7.3,False,False,False,0,1.4
29,young_professionals,Growth,29,7.3,True,False,False,0,3.1
30,young_professionals,Casual,24,13.9,True,False,False,0,2.1
31,young_professionals,Dormant,28,9.2,False,False,False,0,2.9
32,young_professionals,Growth,29,8.1,False,False,False,2,4.9
33,young_professionals,Growth,29,7.8,False,False,False,0,2.1
34,young_professionals,Growth,24,9.9,False,False,True,0,5.8
35,young_professionals,Power,32,7.7,False,False,False,0,2.2
36,young_professionals,Power,28,6.8,True,False,True,0,0.9
37,young_professionals,Growth,30,8.9,False,False,False,0,4.9
38,young_professionals,Power,23,8.9,False,False,False,0,5.2
39,young_professionals,Growth,27,8.2,True,False,False,2,1.1
40,young_professionals,Growth,32,7.2,False,False,False,0,1.3
41,young_professionals,Casual,32,8.2,False,False,False,0,3.7
42,young_professionals,Casual,25,8.1,False,False,False,0,3.4
43,young_professionals,Growth,26,7.8,False,False,False,0,1.3
44,young_professionals,Casual,24,9.6,False,False,False,0,1.2
45,young_professionals,Casual,25,13.5,False,False,False,3,2.9
46,young_professionals,Growth,22,11.7,False,False,False,1,2.3
47,young_professionals,Power,27,12.9,True,False,False,0,3.4
48,young_professionals,Growth,31,7.9,False,False,False,2,3.4
49,young_professionals,Power,25,12.3,False,False,True,0,3.9
50,young_professionals,Power,28,9.5,False,False,False,2,0.5
51,young_professionals,Power,27,11.0,False,False,False,0,5.3
52,young_professionals,Casual,32,9.9,False,False,False,1,3.3
53,young_professionals,Growth,26,8.3,False,False,False,3,1.9
54,young_professionals,Casual,26,10.4,False,False,False,0,2.3
55,young_professionals,Casual,25,10.0,False,False,False,1,3.5
56,young_professionals,Growth,23,5.5,False,False,False,1,2.9
57,young_professionals,Growth,30,8.8,False,False,False,0,2.9
58,young_professionals,Power,27,10.7,True,False,False,0,2.4
59,young_professionals,Power,28,9.6,False,False,True,2,5.0
60,young_professionals,Growth,33,9.9,True,False,False,0,3.0
61,young_professionals,Growth,33,7.5,False,False,False,0,4.2
62,young_professionals,Growth,21,9.5,False,True,True,1,5.8
63,young_professionals,Casual,31,8.8,False,False,False,0,3.9
64,young_professionals,Growth,29,8.6,False,True,False,0,3.0
65,young_professionals,Growth,26,7.6,False,False,False,0,0.5
66,young_professionals,Growth,29,10.8,False,False,False,0,1.9
67,young_professionals,Growth,21,9.7,False,False,True,2,5.7
68,young_professionals,Power,34,9.5,False,False,True,0,3.0
69,young_professionals,Growth,30,13.1,False,False,True,0,0.5
70,young_professionals,Power,25,9.9,False,False,True,0,2.2
71,young_professionals,Growth,26,11.4,False,False,False,0,0.7
72,young_professionals,Casual,21,9.5,False,False,True,0,1.8
73,young_professionals,Power,27,8.3,False,False,False,0,1.9
74,young_professionals,Power,26,6.9,False,False,False,0,1.6
75,young_professionals,Power,23,9.5,False,True,False,0,2.6
76,young_professionals,Power,31,3.7,False,False,False,2,0.5
77,young_professionals,Growth,33,9.5,False,False,False,1,3.5
78,young_professionals,Growth,28,9.6,True,True,True,0,4.6
79,young_professionals,Casual,27,8.6,False,False,False,1,0.5
80,young_professionals,Growth,30,8.8,False,False,True,1,4.1
81,young_professionals,Growth,28,6.5,False,False,False,0,3.5
82,young_professionals,Casual,24,11.8,True,False,False,1,3.0
83,young_professionals,Power,25,8.3,True,True,True,1,2.6
84,young_professionals,Power,27,7.1,False,False,True,1,2.8
85,young_professionals,Power,29,10.1,True,False,False,1,3.8
86,young_professionals,Casual,28,9.2,False,False,False,2,2.8
87,young_professionals,Growth,29,8.3,True,False,False,0,6.5
88,young_professionals,Power,22,8.1,False,False,True,1,1.5
89,young_professionals,Growth,31,9.0,False,False,False,0,5.0
90,young_professionals,Power,28,11.7,False,False,False,4,2.3
91,young_professionals,Growth,38,9.9,False,False,False,2,1.9
92,young_professionals,Growth,26,8.9,True,False,False,0,4.0
93,young_professionals,Growth,29,10.7,False,False,False,2,2.0
94,young_professionals,Growth,39,9.1,False,False,True,0,5.1
95,young_professionals,Growth,29,9.8,False,False,True,1,1.4
96,young_professionals,Growth,28,9.3,True,False,False,1,4.4
97,young_professionals,Power,24,10.2,True,False,True,0,3.4
98,young_professionals,Power,34,8.1,False,False,True,1,2.3
99,young_professionals,Dormant,23,6.7,False,False,True,0,1.0
100,young_professionals,Casual,30,10.8,False,False,False,0,1.0
101,young_professionals,Growth,26,12.0,False,False,False,1,1.2
102,young_professionals,Power,27,6.8,True,False,True,0,4.2
103,young_professionals,Dormant,22,9.4,True,False,True,3,2.6
104,young_professionals,Casual,33,8.1,False,False,False,4,3.7
105,young_professionals,Casual,27,10.8,False,False,False,0,2.7
106,young_professionals,Growth,23,9.5,True,False,False,1,0.9
107,young_professionals,Power,33,15.7,True,False,False,1,3.0
108,young_professionals,Power,26,8.4,True,True,False,0,3.4
109,young_professionals,Casual,29,12.1,False,False,False,0,0.5
110,young_professionals,Growth,31,12.3,False,False,False,1,1.6
111,young_professionals,Power,30,10.1,True,False,True,2,1.3
112,young_professionals,Growth,19,9.1,False,False,False,0,0.6
113,young_professionals,Growth,31,9.2,False,False,False,1,2.7
114,young_professionals,Power,28,9.0,False,False,False,1,2.9
